City_State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEHI_43,56080,52432,49375,48322,47407,51307,48465,39483,32764,26530,23638,22173,19736,19340,19028,15516,14432,11400,11074,10803,9382,9146,8917,8706,8475,8334,8196,8172,8177,7812,7842,7599,7294,7116,6847
ROCKLIN_4,60371,59621,58865,57644,56974,54919,53803,52328,50073,48960,47478,43717,37665,37005,36330,31334,28494,26915,26590,26349,22973,22813,19740,19429,19033,15366,10786,10407,9254,8771,8524,7806,7667,7492,7298
SOUTH JORDAN_43,61601,57593,52071,51391,50418,54042,51044,46571,41519,38031,34126,32300,30532,29920,29437,26792,24357,18248,17726,17292,14885,14511,12858,12554,12220,12598,11278,NA,9957,9320,9356,8256,7925,7731,7439
MANSFIELD_42,60131,58380,56695,55770,54621,44952,43067,40716,36784,33553,32167,30851,28495,27899,27280,23906,21590,20297,19973,19552,17935,17597,16222,15940,15607,14248,12748,12731,11199,9757,9530,8934,8682,8383,8051
AVONDALE_2,79472,78905,78364,77317,76238,88773,85376,83487,69256,NA,NA,NA,NA,NA,35883,28228,25546,NA,NA,21374,17223,16636,16903,16542,16169,NA,NA,10343,9791,9451,9054,8877,8569,8364,8136
ALLEN_42,93889,91289,88783,86019,84246,86901,83242,78630,71184,67432,63448,58106,45492,44542,43554,39502,34068,28756,28296,27699,22473,22049,19029,18699,18309,18345,15917,15438,11713,10984,10728,9214,8954,8646,8303
MURFREESBORO_41,119005,115587,112247,109736,108755,105910,102536,96264,87897,82367,78865,75468,70122,69430,68816,58999,56553,NA,NA,NA,NA,51139,46273,45620,44922,46238,43359,41404,37331,35457,35120,33864,33619,33323,8851
HAMILTON TOWNSHIP_29,115940,115781,115724,115351,114967,115354,115277,114473,113979,114006,113123,111483,109859,108506,107608,104631,104915,106784,105922,105353,104810,104480,103344,102960,102565,101826,101930,12515,11332,10539,10473,9474,9436,9389,9314
GEORGETOWN_42,56782,53844,50304,48397,47400,52555,49644,44834,40121,37062,35400,33763,29601,28982,28339,29205,24143,18612,18315,17929,16382,16073,15426,15158,14842,16690,16235,15328,12867,11481,11214,10395,10102,9755,9368
JUPITER_9,59039,57826,56674,55908,55156,51514,49429,50294,48717,47807,46102,44179,41126,40347,39328,31375,28711,28956,28455,27993,26877,26350,26047,25640,NA,27201,NA,22646,17025,14082,13598,10480,10221,9976,9388
O'FALLON_24,83550,82672,80670,79617,79329,80528,78837,76542,70203,67541,64237,60014,46807,NA,46169,35211,30769,20530,20367,20235,21909,21727,18974,18847,18698,13425,12925,12178,10061,9407,NA,NA,NA,NA,NA
WOODBURY_22,66539,65259,63190,62439,61961,57259,56619,55376,52830,50332,49821,49551,47409,46962,46463,40860,40063,29912,29734,29428,25086,24812,20556,20336,20075,17466,18219,17491,14093,12260,12169,10548,10521,10411,10338
RIO RANCHO_30,92957,91769,89331,88369,87391,83413,79278,74542,67504,62770,59883,57211,52789,52052,51765,50125,48236,43397,42971,42269,38024,37151,33919,33211,32505,34303,29189,26882,12788,11854,11639,10783,10475,NA,NA
FOLSOM_4,73329,73782,73678,73052,72203,69728,69523,68320,66202,64385,63350,61899,53790,52848,51884,45727,42027,40657,40166,39802,36289,36035,30909,30422,29802,24245,19163,18670,16138,13910,13518,11749,11539,11275,10983
PALM BEACH GARDENS_9,51210,50333,49679,49112,48452,50937,50154,51053,49815,45315,42763,38825,36661,35966,35058,35337,33747,29491,NA,28510,26557,26036,23940,23566,22965,24941,NA,22574,20083,18785,18140,12867,12549,12248,11526
ROUND ROCK_42,110577,106991,104797,100598,98525,108815,100795,96220,87359,82049,77965,73753,62733,61423,60060,61560,56580,43826,43125,42215,36391,35705,32141,31582,30923,25207,23388,22081,18681,16812,16420,12907,12543,12112,11632
GRAPEVINE_42,51135,49075,48095,47309,46334,51400,51109,49476,48791,48029,47668,46534,43929,43011,42057,40879,38916,38795,38175,37369,33973,33332,30352,29825,29202,24813,21154,21125,17520,15726,15360,13022,12655,12221,11736
CASA GRANDE_2,50207,50058,50132,49259,48571,43254,39928,35951,34111,32253,30568,29351,26826,26093,25224,23544,22427,23570,22913,21827,21218,20495,19949,19523,19082,17722,17432,16481,17257,17088,16369,12900,12452,12160,11822
TIGARD_36,51024,50311,49359,48546,48035,49422,50536,50087,48755,47466,45986,45640,42429,41843,41223,37305,36926,37313,36865,36141,33470,32885,30733,30166,29344,22925,20119,19517,18806,18005,17921,12206,12147,12137,11970
