"","city","aypi"
"161","DEERFIELD BEACH",0.0319277619599408
"162","PLYMOUTH",0.026607407610433
"163","WELLINGTON",0.0460957659570306
"164","CAPE CORAL",0.054898134370374
"165","PALATINE",0.047593429493125
"166","BEAVERTON",0.0344247105815848
"167","WESTMINSTER",0.0277521925685609
"168","CLOVIS",0.0345879398872611
"169","RICHLAND",0.0140448519585493
"170","PINELLAS PARK",0.0135541360925103
"171","MIRAMAR",0.0461588807369752
"172","PITTSBURG",0.0217778413592304
"173","GRESHAM",0.0394109384436595
"174","APPLE VALLEY",0.0342739224951007
"175","YUCAIPA",0.0203450337360441
"176","GRAND ISLAND",0.0130215899443844
"177","PETALUMA",0.0174454597403999
"178","HOBOKEN",0.00849976245869536
"179","KENNEWICK",0.0252895689600267
"180","SOUTHAMPTON TOWN",0.015830707224536
"181","CARLSBAD",0.0366485756635489
"182","DELRAY BEACH",0.0215172381335738
"183","SAMMAMISH",0.0302114239153914
"184","BOYNTON BEACH",0.0236026305948228
"185","EDMOND",0.028469000093886
"186","FONTANA",0.055414299827996
"187","GREENVILLE",0.032613852280713
"188","FLAGSTAFF",0.020905452079185
"189","MOORE",0.016026549335209
"190","BATTLE CREEK",0.0269776828720748
"191","PLEASANTON",0.0232575446539148
"192","PLACENTIA",0.0121713095631267
"193","ROCK HILL",0.0210016323554861
"194","LODI",0.017588842149018
"195","GLENDORA",0.0111634881663607
"196","NORMAL",0.0266730980845737
"197","PEMBROKE PINES",0.0522146712169813
"198","BURNSVILLE",0.0170401535122226
"199","MILPITAS",0.0204260245080867
"200","PLYMOUTH",0.0227153986948446
"201","COON RAPIDS",0.0185175882806867
"202","MARGATE",0.0147569776033973
"203","OCALA",0.0165680387096863
"204","BOLINGBROOK",0.040005939164578
"205","PARAMOUNT",0.0128240618053488
"206","FAYETTEVILLE",0.0241593781604886
"207","STATE COLLEGE",0.0169255158498796
"208","HESPERIA",0.0408558218430731
"209","VALDOSTA",0.0140607668552891
"210","MERCED",0.0243313341589926
"211","FORT MYERS",0.0211437452282848
"212","DAVIS",0.0179732515835986
"213","BROKEN ARROW",0.026452828801897
"214","WEST NEW YORK",0.00953990484569216
"215","PERTH AMBOY",0.0095493952858901
"216","LAUDERHILL",0.0263116260125741
"217","OLATHE",0.0537194958512032
"218","CORAL SPRINGS",0.0407788921190844
"219","BURLINGTON",0.00969616620747711
"220","COLLEGE STATION",0.0307216335889565
"221","CAMARILLO",0.0176654850604727
"222","RIALTO",0.0308663686642376
"223","CORONA",0.0451157571138345
"224","HOFFMAN ESTATES",0.0173520609317787
"225","SHELBY TOWNSHIP",0.0212090068276593
"226","MINNETONKA",0.00903639606124006
"227","SPRINGFIELD",0.0116091240762644
"228","BOWLING GREEN",0.0147631850123808
"229","UNION CITY",0.0190585656516557
"230","NEW BRUNSWICK",0.00964956826992525
"231","SANTA MARIA",0.0300449954458038
"232","MEDFORD",0.020493611925264
"233","WARNER ROBINS",0.0190375466224086
"234","IDAHO FALLS",0.0118438223767153
"235","GULFPORT",0.0214122693951033
"236","THORNTON",0.0378163473326284
"237","VACAVILLE",0.0263388050332415
"238","CHINO",0.0215423437405279
"239","CORVALLIS",0.00937647283162626
"240","CORAL GABLES",0.00609910622360103
"241","SPARKS",0.0253113136845634
"242","ALISO VIEJO",0.0172290940543834
"243","ELKHART",0.00783278692173059
"244","WEST BLOOMFIELD TOWNSHIP",0.0147769026630664
"245","NAPERVILLE",0.0278473824782208
"246","SANTA CRUZ",0.0128232658946763
"247","NOVATO",0.0082072775643197
"248","REVERE",0.0110980004380022
"249","DECATUR",0.00910343424264193
"250","YUMA",0.0317450140926081
"251","REDDING",0.0236064655311382
"252","PISCATAWAY TOWNSHIP",0.0101700705263818
"253","NORTH MIAMI",0.0129123602274892
"254","ANTIOCH",0.0284345649158738
"255","CASPER",0.00588872715635069
"256","VANCOUVER",0.0494670969199613
"257","TEMPLE",0.0160183093955846
"258","ROSEMEAD",0.00754787629337933
"259","NORTH LAS VEGAS",0.0745657424227349
"260","WHEATON",0.0122945906426749
"261","LAFAYETTE",0.0157603092008464
"262","LONGMONT",0.0248310017992762
"263","HARLINGEN",0.0130420503388137
"264","BROOKLYN PARK",0.0186519792477129
"265","REDLANDS",0.0144972923278838
"266","HEMPSTEAD VILLAGE",0.011396795030564
"267","GRAND FORKS",0.0074317861634974
"268","LYNWOOD",0.0150590293039125
"269","AMES",0.0107711701233036
"270","SAN RAFAEL",0.0091163540731194
"271","POCATELLO",0.00495415866902611
"272","SUNRISE",0.0260477760697772
"273","WILMINGTON",0.0290690264659057
"274","KOKOMO",0.00637416399867415
"275","BRYAN",0.0181314313269846
"276","BLOOMINGTON",0.0301182048249723
"277","BISMARCK",0.0128735160719113
"278","YORK AREA REGIONAL",0.0235921306718756
"279","BERWYN",0.0127323535903698
"280","LA HABRA",0.00980845372641178
"281","LAS CRUCES",0.0262631411710227
"282","GARDENA",0.00875952649502169
"283","PLAINFIELD",0.00350712535202435
"284","TAUNTON",0.00692562744936173
