"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"PFLUGERVILLE",NA,NA,NA,NA,19,11,16,16,16,12,4,9,19,19,9,9,19,19,9,19,4,9,19,9,9,4,9,9,9,9,4,4,4,4,4
"CENTENNIAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,9,4,9,4,4,4,4,9,4,4
"SAMMAMISH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"WEST HARTFORD",4,4,4,4,4,4,4,4,4,19,19,4,19,19,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"NASHUA",9,NA,19,9,4,4,9,9,4,9,9,4,9,9,9,19,19,NA,NA,NA,NA,NA,NA,NA,NA,19,19,19,19,19,9,19,9,9,9
"EASTVALE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4
"EULESS",19,19,19,19,9,19,19,16,16,16,16,9,9,19,19,9,19,9,19,19,19,9,19,19,19,19,19,19,19,19,9,19,19,19,4
"EDISON",19,19,19,4,19,19,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRVINE",19,19,4,4,19,4,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"SAN RAMON",NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"ASHBURN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FRANKLIN",4,19,19,9,19,19,19,19,19,19,19,19,19,19,19,9,9,19,19,19,19,19,19,19,19,4,19,9,19,19,4,9,4,4,4
"APPLETON",19,9,9,9,4,9,4,4,4,4,4,4,4,4,4,4,4,4,NA,9,4,19,9,19,9,9,9,9,9,9,9,9,9,9,9
"BROOMFIELD",19,19,19,19,19,19,19,19,19,19,19,19,9,19,19,19,19,19,9,19,9,9,NA,NA,NA,4,4,4,4,4,4,4,4,4,4
"CHERRY HILL",19,19,19,19,19,19,19,19,19,4,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOFFMAN ESTATES",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4
"HUNTER MILL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OVERLAND PARK",19,19,19,19,19,19,19,NA,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,19,4,19,19,19,19,19,9,19,4,9
"FISHERS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"NEWTON",4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"NOVI",19,9,19,19,19,19,19,19,19,19,4,4,9,19,9,9,9,9,4,4,19,19,4,4,4,4,4,4,4,4,4,4,4,4,4
"KOOLAUPOKO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OYSTER BAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIOUX FALLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WELLINGTON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,9,19,19,9,9,9,19,19,19,19,19,4,4,4
"CARY",4,4,4,4,4,4,4,4,4,4,19,19,19,4,19,19,19,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"HAMDEN",4,19,4,4,4,9,4,4,19,4,9,4,9,4,4,9,4,4,4,4,4,19,4,19,4,4,19,19,19,4,4,4,19,4,4
"HUNTINGTON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREENWICH",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"LEVITTOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATOACA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEES SUMMIT",19,19,9,4,4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPRING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CENTRAL PASCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREMONT",9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,4,19,4,4,19,4,19,19,19,19,19,4,4,4,4,4
"AMES",4,NA,NA,4,4,4,4,NA,4,4,9,NA,4,9,4,4,4,4,4,4,4,4,9,9,9,4,9,9,9,9,9,4,9,9,9
"EDMOND",19,9,9,19,19,4,19,4,4,4,4,9,19,4,19,4,4,4,4,4,4,4,4,4,9,9,9,4,4,4,4,4,4,4,4
"WEST CHESTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCOTTSDALE",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,NA,19,4,19,19,19,19,19,19,19,19,19,19,19,19,19,4,9
"MIAMI",5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,11,16,11,19,19,19,19,19,19,19
"DETROIT",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"PATERSON",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,11,16,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"HAWTHORNE",5,5,16,16,5,9,19,9,16,5,5,5,5,5,5,5,5,16,16,19,19,9,9,19,19,19,19,19,19,9,9,19,19,9,19
"FALL.RIVER",19,19,19,19,19,19,9,19,19,16,16,16,16,16,16,19,19,19,19,19,9,16,16,16,16,11,16,16,16,16,16,16,16,16,16
"BIRMINGHAM",5,5,5,5,16,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,5,5,5,5,5,5,5,NA,5,5,5,5
"MEMPHIS",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6
"FLINT",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,16,16,5,5,5,6,5,5,5,5,5,5,16
"CLEVELAND",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"GARY",5,5,5,5,5,5,16,16,5,5,5,5,5,5,5,12,12,12,12,12,5,12,5,12,5,5,5,12,5,5,5,5,5,5,15
"WESTMINSTER",19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
"JACKSON",16,5,5,9,16,9,16,16,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,5,5,5,5,5,5,5,5,5
"DAYTON",5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16
"BUFFALO",5,NA,16,16,16,16,16,16,5,5,5,5,5,5,5,5,5,5,16,16,16,5,16,5,16,16,5,16,16,5,5,16,16,16,16
"ST..LOUIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"CANTON",16,9,16,9,16,16,16,16,16,5,16,5,5,5,5,5,5,16,16,NA,16,16,16,NA,5,16,5,5,5,16,16,5,5,16,16
"MOUNT.VERNON",16,19,5,16,19,16,16,19,19,16,5,16,16,16,16,16,16,9,NA,NA,19,19,19,19,19,19,19,11,11,11,11,11,11,19,16
"ROCKFORD",16,16,16,16,16,16,11,11,11,11,11,11,11,11,11,19,19,19,19,19,19,19,19,19,19,19,6,6,16,16,16,16,16,16,16
"WILMINGTON",5,5,5,5,5,5,16,NA,5,6,6,5,16,NA,NA,NA,NA,NA,6,6,6,6,16,16,16,11,5,5,5,5,5,5,5,5,5
"YOUNGSTOWN",16,5,16,16,16,16,5,16,5,5,5,5,5,5,5,5,12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16
"ALBANY",16,5,16,16,NA,NA,16,5,5,5,5,5,5,5,5,16,NA,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,19,19
"MILWAUKEE",19,9,19,19,9,9,16,16,16,16,5,5,5,5,5,5,16,16,16,16,16,16,16,16,19,19,16,16,16,16,16,16,16,16,16
"SPRINGFIELD",16,16,16,16,16,16,16,16,5,5,5,5,5,5,5,16,16,16,6,6,6,6,6,6,6,16,16,16,16,16,6,11,11,16,16
"HOUSTON",NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"CAMDEN",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,NA,NA
"BALTIMORE",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"LAWRENCE",19,19,19,19,NA,NA,NA,NA,NA,5,5,5,5,5,5,16,16,16,NA,16,11,9,19,19,19,11,19,11,11,11,11,11,11,19,19
"LANSING",19,16,18,16,16,16,16,16,16,16,16,18,18,11,16,16,18,18,16,16,16,18,18,18,16,16,16,16,16,16,16,16,16,16,16
"SPRINGFIELD.1",16,16,16,16,16,16,11,11,11,11,11,11,11,NA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9,9,9,9,9
"KNOXVILLE",9,9,9,9,9,9,16,9,19,16,16,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"KANSAS.CITY",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"SOUTH.BEND",5,5,16,16,16,16,5,5,5,NA,NA,NA,5,5,5,5,5,16,16,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"AKRON",16,16,16,16,16,16,16,16,16,16,16,5,16,16,16,16,16,NA,NA,11,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16
"RACINE",16,19,19,19,16,16,16,16,16,16,11,16,11,11,11,11,11,19,NA,19,19,11,11,11,19,16,19,19,19,9,19,19,19,19,19
"LORAIN",9,4,9,19,19,9,9,9,9,16,16,16,16,16,9,9,9,16,9,19,19,19,19,19,11,11,11,11,16,11,11,16,11,11,16
"PEORIA",5,16,16,16,16,16,11,11,11,11,11,11,19,NA,19,NA,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9
"TUCSON",16,16,16,16,16,16,16,16,16,NA,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,11,11,16,16,16,16
"CINCINNATI",16,16,16,16,16,16,16,16,16,16,16,5,5,5,5,6,16,NA,NA,16,16,5,5,5,5,5,5,5,5,5,5,5,5,5,16
"TOLEDO",5,5,NA,16,16,16,16,16,NA,5,6,6,5,6,6,6,16,16,11,11,6,6,16,11,11,5,5,11,11,16,9,19,9,9,16
"OAKLAND",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,16,16,16,16,5,16,5,5,5,5,5,5,5,5,5,5
"SANTA.BARBARA",16,16,9,9,9,9,9,9,9,9,19,9,19,9,9,9,9,9,19,19,9,19,9,9,9,9,9,9,19,19,19,9,9,9,9
"SAN.FRANCISCO",5,5,5,5,5,5,16,16,16,16,5,5,5,5,5,5,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,9
"NEWARK",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,19,19,19,16,19,19,5,19
"NEW.YORK",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,19,19,19,19,19,19,4,4,4,4,4,4,4,4,4,4,4,4,4
"DAVIS",19,9,4,4,19,19,19,19,19,19,19,19,19,19,19,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,4,9,4,9,9
"WASHINGTON",5,5,5,5,5,5,5,5,5,12,12,12,5,12,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,11,16,16,16
"BOSTON",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,9,9
"CHICO",9,9,9,19,9,9,16,16,9,9,16,16,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"PALO.ALTO",9,19,19,19,19,19,19,19,19,4,4,19,19,19,19,19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"BELLINGHAM",16,19,19,19,9,9,9,19,16,16,16,16,16,16,16,16,19,9,9,9,19,19,19,9,19,9,9,9,19,9,9,9,9,9,9
