"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35"
"OYSTER BAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SIOUX FALLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WELLINGTON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,8,8,8,11,11,11,8,8,8,8,8,8,8,12
"CARY",12,12,12,12,12,12,12,12,8,8,8,8,8,8,8,8,8,8,8,12,12,12,12,8,8,8,8,8,12,12,12,12,12,12,12
"HAMDEN",8,8,8,12,12,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12,8,8,8,8,8,8,8,8,8,12,8,8,8,12
"HUNTINGTON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREENWICH",12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
"LEVITTOWN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATOACA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEES SUMMIT",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,24,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SPRING",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CENTRAL PASCO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREMONT",11,8,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,12
"AMES",12,NA,NA,8,12,12,8,NA,8,8,11,NA,12,8,8,12,12,12,12,12,12,8,11,11,11,8,11,8,11,11,11,8,11,11,8
"EDMOND",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,8,8,8,8,8,8,8,12,12,12,12,12,12,12
"WEST CHESTER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SCOTTSDALE",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"MIAMI",13,13,13,13,13,13,13,13,NA,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,24,24,24,24,24,24,24,24,24,24
"DETROIT",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"PATERSON",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,7,7,24,24,24,24,24,7,24,24,7,24,24,24,7,24,24,24,24
"HAWTHORNE",13,13,13,11,13,11,8,11,13,13,13,13,13,13,13,13,13,7,24,24,24,11,11,8,8,8,8,8,8,11,11,8,8,11,8
"FALL.RIVER",8,8,8,8,8,8,11,11,24,11,11,11,11,11,24,24,24,24,24,24,24,24,7,7,7,7,7,7,7,7,7,7,7,7,7
"BIRMINGHAM",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,13,13,13,13,13,13,13,13,13,13,NA,13,13,13,7
"MEMPHIS",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,17
"FLINT",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,13,17,17,17,13,13,7,13,13,17,17,17,13,13,13,13,13,13,7
"CLEVELAND",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,13,13,13,13,13,13,13,13,13,13,13,13,17,13,13,17,17
"GARY",13,13,13,13,13,13,11,13,13,13,13,13,13,13,13,4,4,4,4,4,4,4,4,4,4,4,13,4,4,4,13,13,13,4,22
"WESTMINSTER",8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"JACKSON",13,13,13,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"DAYTON",13,13,13,13,13,13,13,17,13,17,17,17,13,17,13,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,13
"BUFFALO",13,NA,13,11,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,13,13,13,13,13,13,13,13,7,7,7,7
"ST..LOUIS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"CANTON",11,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,13,13,13,NA,7,7,7,NA,7,7,13,7,7,13,7,13,13,13,25
"MOUNT.VERNON",24,24,13,11,24,11,11,8,24,24,13,13,24,7,24,24,24,11,NA,NA,24,8,8,8,8,24,24,24,24,24,24,24,24,24,24
"ROCKFORD",13,24,24,24,7,13,24,24,7,24,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7
"WILMINGTON",13,13,13,13,13,13,13,NA,25,17,17,13,7,NA,NA,NA,NA,NA,17,17,17,17,7,7,7,7,13,13,13,7,13,13,13,7,7
"YOUNGSTOWN",13,13,13,13,11,13,13,11,13,13,13,13,13,13,13,4,4,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,13,7,7
"ALBANY",11,13,11,11,NA,NA,11,13,13,13,13,13,13,13,13,13,NA,11,7,7,24,24,11,11,11,11,11,11,24,11,24,11,24,24,24
"MILWAUKEE",8,11,8,8,11,11,11,7,7,7,13,13,13,13,13,13,13,13,7,13,11,11,11,24,24,24,24,13,24,24,24,24,24,13,11
"SPRINGFIELD",11,13,13,13,11,11,7,13,13,13,13,13,13,13,13,13,7,7,7,17,17,17,17,17,7,7,7,7,7,7,7,7,7,7,7
"HOUSTON",NA,NA,13,13,13,13,13,13,13,13,13,13,13,13,13,13,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,24,24,24,24
"CAMDEN",13,13,13,13,13,13,13,13,13,13,13,13,13,13,17,17,17,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,4,NA,NA
"BALTIMORE",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,NA,13,13,13,13,13,13,13,4,13,13,13,13,13,13,13
"LAWRENCE",11,11,8,8,NA,NA,NA,NA,NA,13,13,13,13,13,13,24,24,7,NA,11,24,11,24,24,24,24,24,24,24,24,24,24,24,24,24
"LANSING",11,11,25,11,11,11,25,25,7,25,25,25,25,24,25,7,25,25,25,7,7,25,25,25,11,7,7,7,7,7,7,7,7,25,25
"SPRINGFIELD.1",11,11,11,11,11,11,24,24,24,24,7,7,7,NA,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11
